continent,nation,uni_name_eng,uni_name_ko,lat,lng,partner,course_point,category,program_date,program_date_tidily,program_duration,application_due,teaching_lang,minimum_lang,partner_adv,adv,expense,link,intern_program,accomodation
북미,미국,Cornell University,코넬대학교,42.453449,-76.473503,,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,"6. 2 - 6. 20(세션1)
6. 23 - 7. 11(세션 2)
7. 14 - 8. 1(세션 3)",,3주,"5. 19(세션1)
6. 9(세션 2)
6. 30(세션 3)",영어,"TOEFL (iBT) 100
IETLS 7.0",,A(500만 원),"$1,840/credit hour",https://sce.cornell.edu/courses/programs/summer,,
북미,미국,The State University of New York at Stony Brook,스토니브룩대학교(뉴욕주립대 산하),40.912204,-73.123611,파트너대학,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,7월 - 8월,,4주,5. 1,영어,프로그램마다 상이,,A(500만 원),,https://www.stonybrook.edu/summer/,,
북미,미국,Yale Univ.,예일대학교,41.316324,-72.922343,,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,6. 30 - 8. 1,,4주,5. 5,영어,"TOEFL (ibt) 100
IELTS 7.0
듀오링고 120
",접수비: 면제 (원래 $80),A(500만 원),"등록금($8,432) + 숙박비($4,400) + 
기타금액 = 총 $13,072",http://summer.yale.edu,,
북미,미국,"University of California, Berkeley 
(UC Berkeley)",캘리포니아대학교 버클리(UC Berkely),37.871899,-122.25854,,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,"6. 23 - 8.15(세션C)
7. 7 - 8. 15(세션D)
7. 28 - 8. 15(세션E)
7. 7 - 7. 25(세션F)",,,"프로그램 및 비자마다 
상이",영어,"TOEFL (ibt) 80
IETLS 6.5
듀오링고 115
",,A(500만 원),"$615/unit + $550 (registration fee) + 
$500 (international service fee) + 
$71 (document management fee)",https://summer.berkeley.edu/international,,
북미,미국,"University of California, Los Angeles 
(UCLA)",캘리포니아대학교 로스앤젤레스(UCLA),34.068921,-118.445181,,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,"6. 23 - 7.11(세션A3)
6. 23 - 8. 1(세션A6)
6. 23 - 8. 15(세션A8)
6. 23 - 8.22(세션A9)
6. 23 - 8. 29(세션A10)
7. 14 - 8. 1(세션B3)
8. 4 - 8. 22(세션C3)
",,,"프로그램마다 
상이",영어,"TOEFL (ibt) 80
IETLS 6.5
듀오링고 105
",,A(500만 원),"$385/unit + $350 (registration fee) + 
$500 (service fee) + $61 (IEI fee) +
$50 (document fee) + $59 (istart fee) +
$440 (health insurance",https://summer.ucla.edu/student-types/visiting-college-students/#options,,
북미,미국,"University of Wisconsin–Madison 
(UW-Madison)",위스콘신대학교 매디슨(UW-Madison),43.076592,-89.412487,,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,6. 16 - 8. 10,,,,영어,"TOEFL (ibt) 80
IETLS 6.5
듀오링고 120
",,A(500만 원),"$16,306 ",https://visp.wisc.edu/summer/#january-march,,
북미,미국,Harvard University,하버드대학교,42.377003,-71.11666,,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,"6. 23 - 8. 8 (7 week)
7. 14 - 8. 7 (4 week)
6. 23 - 7. 10 (3 week I)
7. 14 - 7 . 31 (3 week II)",,,,영어,"TOEFL (ibt) 100
IETLS 7.5
듀오링고 125
",,A(500만 원),프로그램마다 상이,https://summer.harvard.edu/,,
북미,미국,University of California at Irvine,캘리포니아대학교 어바인(UC Irvine),33.640495,-117.844296,파트너대학,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,"7. 23 - 7. 30(세션 1)
7. 23 - 8. 29(10 week)",,,5. 1,영어,"TOEFL (iBT) 79
IETLS 6.5",,A(500만 원),"$4,216 ",https://summer.uci.edu/,,
북미,미국,University of Pennsylvania,펜실베니아대학교,39.952219,-75.193214,파트너대학,"전 분야, 온·오프라인 100개+ 강의 제공 (미국 공통)",전체,7. 2 - 8. 8,,,,영어,"TOEFL (iBT) 100
IETLS 7.0",,A(500만 원),"$14,456 ",https://summer.sas.upenn.edu/,,
북미,캐나다,The University of British Columbia,브리티시컬럼비아대학교,49.260872,-123.113953,,"60개 이상 다양한 과목 패키지! 과학, 건축, 간호, 예술, 비즈니스, 교육, 의학 등",전체,7. 11 - 8. 11,,,4. 4,영어,없음,,A(500만 원),CAD $5975,https://vancouversummerprogram.ubc.ca/,,
